description,severity
Brute force login attempt detected on SSH service,High
Brute force login attempt detected on SSH service was triggered on endpoint.,High
Brute force login attempt detected on SSH service observed by monitoring service.,High
Alert generated: Brute force login attempt detected on SSH service,High
Brute force login attempt detected on RDP service,Critical
Brute force login attempt detected on RDP service detected on host system.,Critical
Brute force login attempt detected on RDP service observed by monitoring service.,Critical
Suspicious behavior: Brute force login attempt detected on RDP service,Critical
Multiple failed login attempts from same IP,High
Multiple failed login attempts from same IP detected on host system.,High
Multiple failed login attempts from same IP was triggered on endpoint.,High
Suspicious behavior: Multiple failed login attempts from same IP,High
Suspicious login from unusual geolocation,High
Suspicious login from unusual geolocation activity logged.,High
Detected activity: Suspicious login from unusual geolocation,High
Suspicious login from unusual geolocation detected on host system.,High
Valid account credentials used from new device,High
Alert generated: Valid account credentials used from new device,High
Valid account credentials used from new device found during analysis.,High
Valid account credentials used from new device was triggered on endpoint.,High
Default account password login attempt,Medium
Alert generated: Default account password login attempt,Medium
Security event - Default account password login attempt,Medium
Default account password login attempt detected on host system.,Medium
Trusted relationship abused for access,High
Trusted relationship abused for access observed by monitoring service.,High
Trusted relationship abused for access activity logged.,High
Alert generated: Trusted relationship abused for access,High
Remote exploitation of exposed service detected,Critical
Remote exploitation of exposed service detected found during analysis.,Critical
Remote exploitation of exposed service detected was triggered on endpoint.,Critical
System alert: Remote exploitation of exposed service detected,Critical
Anonymous login attempt to administrative share,High
Security event - Anonymous login attempt to administrative share,High
Anonymous login attempt to administrative share was triggered on endpoint.,High
Anonymous login attempt to administrative share detected on host system.,High
Hardware keylogger device connected,High
Hardware keylogger device connected observed by monitoring service.,High
Security event - Hardware keylogger device connected,High
Detected activity: Hardware keylogger device connected,High
Unauthorized USB mass storage device mounted,Medium
Suspicious behavior: Unauthorized USB mass storage device mounted,Medium
Unauthorized USB mass storage device mounted detected on host system.,Medium
Detected activity: Unauthorized USB mass storage device mounted,Medium
User executed file from suspicious network share,High
Security event - User executed file from suspicious network share,High
User executed file from suspicious network share detected on host system.,High
User executed file from suspicious network share found during analysis.,High
Execution of macro-enabled Office document,High
Alert generated: Execution of macro-enabled Office document,High
Suspicious behavior: Execution of macro-enabled Office document,High
Detected activity: Execution of macro-enabled Office document,High
Execution of script from email attachment,High
Alert generated: Execution of script from email attachment,High
Execution of script from email attachment activity logged.,High
Execution of script from email attachment observed by monitoring service.,High
User opened file with known malicious hash,Critical
User opened file with known malicious hash activity logged.,Critical
User opened file with known malicious hash found during analysis.,Critical
User opened file with known malicious hash detected on host system.,Critical
Suspicious script execution by legitimate process,High
Suspicious script execution by legitimate process observed by monitoring service.,High
Detected activity: Suspicious script execution by legitimate process,High
Suspicious script execution by legitimate process detected on host system.,High
Malware payload downloaded and executed,Critical
Security event - Malware payload downloaded and executed,Critical
Malware payload downloaded and executed detected on host system.,Critical
Malware payload downloaded and executed was triggered on endpoint.,Critical
Command-line execution with obfuscated arguments,High
Command-line execution with obfuscated arguments observed by monitoring service.,High
Command-line execution with obfuscated arguments activity logged.,High
Security event - Command-line execution with obfuscated arguments,High
Scheduled task created and executed by user,High
Scheduled task created and executed by user was triggered on endpoint.,High
Security event - Scheduled task created and executed by user,High
Detected activity: Scheduled task created and executed by user,High
Service started from non-standard directory,High
Detected activity: Service started from non-standard directory,High
Security event - Service started from non-standard directory,High
Suspicious behavior: Service started from non-standard directory,High
Remote PowerShell execution from external host,High
Remote PowerShell execution from external host found during analysis.,High
Remote PowerShell execution from external host activity logged.,High
Remote PowerShell execution from external host observed by monitoring service.,High
Remote code execution via SMB detected,Critical
Remote code execution via SMB detected observed by monitoring service.,Critical
System alert: Remote code execution via SMB detected,Critical
Remote code execution via SMB detected was triggered on endpoint.,Critical
WMI process execution from unknown source,High
Alert generated: WMI process execution from unknown source,High
WMI process execution from unknown source was triggered on endpoint.,High
WMI process execution from unknown source activity logged.,High
Dynamic code execution using eval function,Medium
System alert: Dynamic code execution using eval function,Medium
Security event - Dynamic code execution using eval function,Medium
Dynamic code execution using eval function activity logged.,Medium
JavaScript executed from external source,Medium
System alert: JavaScript executed from external source,Medium
Alert generated: JavaScript executed from external source,Medium
JavaScript executed from external source activity logged.,Medium
PowerShell executed from internet download,High
PowerShell executed from internet download observed by monitoring service.,High
PowerShell executed from internet download was triggered on endpoint.,High
System alert: PowerShell executed from internet download,High
XSL script execution initiated by system process,Medium
XSL script execution initiated by system process was triggered on endpoint.,Medium
XSL script execution initiated by system process detected on host system.,Medium
Security event - XSL script execution initiated by system process,Medium
Malicious binary execution in temporary folder,High
Malicious binary execution in temporary folder was triggered on endpoint.,High
Security event - Malicious binary execution in temporary folder,High
Malicious binary execution in temporary folder activity logged.,High
Encoded PowerShell command execution,High
Encoded PowerShell command execution activity logged.,High
Suspicious behavior: Encoded PowerShell command execution,High
Alert generated: Encoded PowerShell command execution,High
Suspicious registry modification for startup,High
System alert: Suspicious registry modification for startup,High
Alert generated: Suspicious registry modification for startup,High
Suspicious registry modification for startup detected on host system.,High
Autorun registry key created by unknown process,High
System alert: Autorun registry key created by unknown process,High
Security event - Autorun registry key created by unknown process,High
Alert generated: Autorun registry key created by unknown process,High
Startup folder modification detected,Medium
Detected activity: Startup folder modification detected,Medium
Startup folder modification detected was triggered on endpoint.,Medium
Suspicious behavior: Startup folder modification detected,Medium
New scheduled task created by non-admin user,Medium
New scheduled task created by non-admin user found during analysis.,Medium
Security event - New scheduled task created by non-admin user,Medium
System alert: New scheduled task created by non-admin user,Medium
New service installed with suspicious binary,High
New service installed with suspicious binary observed by monitoring service.,High
New service installed with suspicious binary activity logged.,High
New service installed with suspicious binary detected on host system.,High
Web shell uploaded to public directory,Critical
Web shell uploaded to public directory found during analysis.,Critical
Web shell uploaded to public directory detected on host system.,Critical
Detected activity: Web shell uploaded to public directory,Critical
Malware persistence via DLL search order hijacking,High
Malware persistence via DLL search order hijacking observed by monitoring service.,High
Security event - Malware persistence via DLL search order hijacking,High
Detected activity: Malware persistence via DLL search order hijacking,High
Shell profile modified for persistence,Medium
Alert generated: Shell profile modified for persistence,Medium
System alert: Shell profile modified for persistence,Medium
Suspicious behavior: Shell profile modified for persistence,Medium
Login hook added to execute malicious payload,Medium
System alert: Login hook added to execute malicious payload,Medium
Suspicious behavior: Login hook added to execute malicious payload,Medium
Login hook added to execute malicious payload activity logged.,Medium
Browser extension installed from untrusted source,Medium
Browser extension installed from untrusted source found during analysis.,Medium
Browser extension installed from untrusted source activity logged.,Medium
Alert generated: Browser extension installed from untrusted source,Medium
Accessibility feature modified for persistence,High
Suspicious behavior: Accessibility feature modified for persistence,High
System alert: Accessibility feature modified for persistence,High
Security event - Accessibility feature modified for persistence,High
New administrative account created unexpectedly,High
New administrative account created unexpectedly found during analysis.,High
New administrative account created unexpectedly was triggered on endpoint.,High
New administrative account created unexpectedly detected on host system.,High
Persistence via systemd service creation,High
Persistence via systemd service creation activity logged.,High
Persistence via systemd service creation found during analysis.,High
Security event - Persistence via systemd service creation,High
Windows service failure action modified,High
Windows service failure action modified was triggered on endpoint.,High
Windows service failure action modified observed by monitoring service.,High
Windows service failure action modified activity logged.,High
Boot configuration modified by unknown process,Critical
Boot configuration modified by unknown process detected on host system.,Critical
System alert: Boot configuration modified by unknown process,Critical
Security event - Boot configuration modified by unknown process,Critical
Kernel module loaded from untrusted path,Critical
Alert generated: Kernel module loaded from untrusted path,Critical
Kernel module loaded from untrusted path observed by monitoring service.,Critical
Security event - Kernel module loaded from untrusted path,Critical
Suspicious plist file modification detected,Medium
Security event - Suspicious plist file modification detected,Medium
System alert: Suspicious plist file modification detected,Medium
Suspicious plist file modification detected found during analysis.,Medium
Cron job created with suspicious command,Medium
Cron job created with suspicious command detected on host system.,Medium
Cron job created with suspicious command found during analysis.,Medium
Cron job created with suspicious command activity logged.,Medium
Init script modified for persistence,Medium
Alert generated: Init script modified for persistence,Medium
Detected activity: Init script modified for persistence,Medium
Init script modified for persistence detected on host system.,Medium
Malware injected into legitimate binary for persistence,High
System alert: Malware injected into legitimate binary for persistence,High
Malware injected into legitimate binary for persistence was triggered on endpoint.,High
Malware injected into legitimate binary for persistence detected on host system.,High
Scheduled job created in cloud environment,High
Scheduled job created in cloud environment detected on host system.,High
Alert generated: Scheduled job created in cloud environment,High
System alert: Scheduled job created in cloud environment,High
Malicious Docker container deployed for persistence,High
Alert generated: Malicious Docker container deployed for persistence,High
Malicious Docker container deployed for persistence activity logged.,High
Malicious Docker container deployed for persistence found during analysis.,High
SSH authorized_keys file modified by unknown user,High
Security event - SSH authorized_keys file modified by unknown user,High
Alert generated: SSH authorized_keys file modified by unknown user,High
SSH authorized_keys file modified by unknown user activity logged.,High
Group Policy logon script modified for persistence,High
Detected activity: Group Policy logon script modified for persistence,High
Alert generated: Group Policy logon script modified for persistence,High
Group Policy logon script modified for persistence found during analysis.,High
New startup item created in user profile,Medium
System alert: New startup item created in user profile,Medium
New startup item created in user profile found during analysis.,Medium
Suspicious behavior: New startup item created in user profile,Medium
Firmware modification detected on system,Critical
Detected activity: Firmware modification detected on system,Critical
System alert: Firmware modification detected on system,Critical
Firmware modification detected on system activity logged.,Critical
Shortcut file target modified to malicious binary,Medium
Security event - Shortcut file target modified to malicious binary,Medium
Shortcut file target modified to malicious binary observed by monitoring service.,Medium
Shortcut file target modified to malicious binary detected on host system.,Medium
Outlook add-in installed from untrusted location,Medium
Outlook add-in installed from untrusted location found during analysis.,Medium
Security event - Outlook add-in installed from untrusted location,Medium
Outlook add-in installed from untrusted location activity logged.,Medium
Malicious driver installed on system,Critical
Malicious driver installed on system was triggered on endpoint.,Critical
System alert: Malicious driver installed on system,Critical
Malicious driver installed on system found during analysis.,Critical
Unauthorized device firmware update detected,Critical
System alert: Unauthorized device firmware update detected,Critical
Unauthorized device firmware update detected observed by monitoring service.,Critical
Unauthorized device firmware update detected detected on host system.,Critical
SIDHistory attribute modified unexpectedly,High
SIDHistory attribute modified unexpectedly found during analysis.,High
System alert: SIDHistory attribute modified unexpectedly,High
Alert generated: SIDHistory attribute modified unexpectedly,High
Malicious mobile application installed,High
Malicious mobile application installed was triggered on endpoint.,High
Malicious mobile application installed detected on host system.,High
Alert generated: Malicious mobile application installed,High
Cloud IAM role modified for persistence,High
Detected activity: Cloud IAM role modified for persistence,High
Cloud IAM role modified for persistence detected on host system.,High
Cloud IAM role modified for persistence found during analysis.,High
Malicious AWS Lambda function scheduled,High
Malicious AWS Lambda function scheduled found during analysis.,High
Malicious AWS Lambda function scheduled activity logged.,High
Malicious AWS Lambda function scheduled was triggered on endpoint.,High
New Azure Function scheduled with malicious payload,High
New Azure Function scheduled with malicious payload detected on host system.,High
Alert generated: New Azure Function scheduled with malicious payload,High
System alert: New Azure Function scheduled with malicious payload,High
Exploitation of sudo vulnerability for privilege escalation,Critical
Security event - Exploitation of sudo vulnerability for privilege escalation,Critical
Alert generated: Exploitation of sudo vulnerability for privilege escalation,Critical
Suspicious behavior: Exploitation of sudo vulnerability for privilege escalation,Critical
Kernel privilege escalation exploit detected,Critical
Kernel privilege escalation exploit detected was triggered on endpoint.,Critical
Kernel privilege escalation exploit detected found during analysis.,Critical
System alert: Kernel privilege escalation exploit detected,Critical
Privilege escalation via misconfigured service permissions,High
Privilege escalation via misconfigured service permissions was triggered on endpoint.,High
Detected activity: Privilege escalation via misconfigured service permissions,High
Privilege escalation via misconfigured service permissions observed by monitoring service.,High
Privilege escalation via DLL hijacking,High
Detected activity: Privilege escalation via DLL hijacking,High
System alert: Privilege escalation via DLL hijacking,High
Privilege escalation via DLL hijacking found during analysis.,High
User added to local administrators group,High
User added to local administrators group found during analysis.,High
User added to local administrators group activity logged.,High
User added to local administrators group was triggered on endpoint.,High
Privilege escalation via setuid binary abuse,High
System alert: Privilege escalation via setuid binary abuse,High
Privilege escalation via setuid binary abuse observed by monitoring service.,High
Privilege escalation via setuid binary abuse was triggered on endpoint.,High
Container breakout privilege escalation detected,Critical
System alert: Container breakout privilege escalation detected,Critical
Container breakout privilege escalation detected observed by monitoring service.,Critical
Alert generated: Container breakout privilege escalation detected,Critical
Token impersonation attempt detected,High
Token impersonation attempt detected detected on host system.,High
Token impersonation attempt detected activity logged.,High
Token impersonation attempt detected observed by monitoring service.,High
Privilege escalation via scheduled task abuse,High
Privilege escalation via scheduled task abuse activity logged.,High
System alert: Privilege escalation via scheduled task abuse,High
Security event - Privilege escalation via scheduled task abuse,High
Privilege escalation via service binary replacement,High
Privilege escalation via service binary replacement detected on host system.,High
Detected activity: Privilege escalation via service binary replacement,High
Suspicious behavior: Privilege escalation via service binary replacement,High
Privilege escalation via accessibility feature abuse,High
Security event - Privilege escalation via accessibility feature abuse,High
Alert generated: Privilege escalation via accessibility feature abuse,High
Privilege escalation via accessibility feature abuse was triggered on endpoint.,High
Driver vulnerability exploited for privilege escalation,Critical
Suspicious behavior: Driver vulnerability exploited for privilege escalation,Critical
Driver vulnerability exploited for privilege escalation activity logged.,Critical
Driver vulnerability exploited for privilege escalation detected on host system.,Critical
Privilege escalation via web shell privilege abuse,High
System alert: Privilege escalation via web shell privilege abuse,High
Privilege escalation via web shell privilege abuse observed by monitoring service.,High
Security event - Privilege escalation via web shell privilege abuse,High
Disabling of User Account Control detected,High
Disabling of User Account Control detected detected on host system.,High
Security event - Disabling of User Account Control detected,High
System alert: Disabling of User Account Control detected,High
Execution of payload with SYSTEM privileges,Critical
Execution of payload with SYSTEM privileges was triggered on endpoint.,Critical
Execution of payload with SYSTEM privileges observed by monitoring service.,Critical
System alert: Execution of payload with SYSTEM privileges,Critical
Defense evasion via timestomping of files,Medium
Alert generated: Defense evasion via timestomping of files,Medium
Defense evasion via timestomping of files detected on host system.,Medium
Security event - Defense evasion via timestomping of files,Medium
Obfuscation of PowerShell script detected,Medium
Detected activity: Obfuscation of PowerShell script detected,Medium
Obfuscation of PowerShell script detected was triggered on endpoint.,Medium
Obfuscation of PowerShell script detected activity logged.,Medium
Disabling of logging service,High
Alert generated: Disabling of logging service,High
Disabling of logging service observed by monitoring service.,High
Detected activity: Disabling of logging service,High
Security event logs cleared,High
Alert generated: Security event logs cleared,High
Security event logs cleared found during analysis.,High
Detected activity: Security event logs cleared,High
Uninstallation of antivirus software,Critical
Detected activity: Uninstallation of antivirus software,Critical
Uninstallation of antivirus software was triggered on endpoint.,Critical
Alert generated: Uninstallation of antivirus software,Critical
Disabling of endpoint detection agent,Critical
System alert: Disabling of endpoint detection agent,Critical
Disabling of endpoint detection agent detected on host system.,Critical
Disabling of endpoint detection agent observed by monitoring service.,Critical
Process injection into trusted process,Critical
Suspicious behavior: Process injection into trusted process,Critical
Process injection into trusted process detected on host system.,Critical
Process injection into trusted process activity logged.,Critical
Masquerading as legitimate system process,High
Masquerading as legitimate system process activity logged.,High
Masquerading as legitimate system process found during analysis.,High
Masquerading as legitimate system process detected on host system.,High
Binary padding in suspicious executable,Medium
Detected activity: Binary padding in suspicious executable,Medium
Binary padding in suspicious executable observed by monitoring service.,Medium
Binary padding in suspicious executable activity logged.,Medium
Signed binary proxy execution detected,High
Signed binary proxy execution detected activity logged.,High
Detected activity: Signed binary proxy execution detected,High
System alert: Signed binary proxy execution detected,High
Removal of file system artifacts for evasion,Medium
Removal of file system artifacts for evasion observed by monitoring service.,Medium
Alert generated: Removal of file system artifacts for evasion,Medium
Removal of file system artifacts for evasion found during analysis.,Medium
Suspicious compression of multiple log files,Medium
Suspicious compression of multiple log files activity logged.,Medium
Suspicious compression of multiple log files detected on host system.,Medium
Suspicious compression of multiple log files observed by monitoring service.,Medium
Defense evasion via encrypted payload delivery,High
Suspicious behavior: Defense evasion via encrypted payload delivery,High
Alert generated: Defense evasion via encrypted payload delivery,High
System alert: Defense evasion via encrypted payload delivery,High
Disabling of firewall rules,Critical
Disabling of firewall rules detected on host system.,Critical
System alert: Disabling of firewall rules,Critical
Disabling of firewall rules found during analysis.,Critical
Modification of security policy settings,High
Modification of security policy settings observed by monitoring service.,High
Modification of security policy settings detected on host system.,High
Modification of security policy settings activity logged.,High
Suspicious AMSI bypass technique detected,High
Alert generated: Suspicious AMSI bypass technique detected,High
Suspicious AMSI bypass technique detected found during analysis.,High
Suspicious AMSI bypass technique detected observed by monitoring service.,High
Use of living-off-the-land binary for evasion,Medium
Use of living-off-the-land binary for evasion found during analysis.,Medium
System alert: Use of living-off-the-land binary for evasion,Medium
Use of living-off-the-land binary for evasion activity logged.,Medium
Tampering with audit configuration detected,High
Tampering with audit configuration detected found during analysis.,High
Tampering with audit configuration detected was triggered on endpoint.,High
System alert: Tampering with audit configuration detected,High
Disabling of Windows Defender real-time protection,Critical
Disabling of Windows Defender real-time protection was triggered on endpoint.,Critical
Disabling of Windows Defender real-time protection activity logged.,Critical
Disabling of Windows Defender real-time protection found during analysis.,Critical
Suspicious disablement of SELinux enforcement,High
Suspicious disablement of SELinux enforcement activity logged.,High
System alert: Suspicious disablement of SELinux enforcement,High
Alert generated: Suspicious disablement of SELinux enforcement,High
Credential dumping from LSASS memory,Critical
System alert: Credential dumping from LSASS memory,Critical
Security event - Credential dumping from LSASS memory,Critical
Credential dumping from LSASS memory detected on host system.,Critical
Credential dumping using Mimikatz,Critical
Credential dumping using Mimikatz observed by monitoring service.,Critical
Credential dumping using Mimikatz detected on host system.,Critical
Suspicious behavior: Credential dumping using Mimikatz,Critical
NTDS.dit file access attempt,Critical
NTDS.dit file access attempt was triggered on endpoint.,Critical
NTDS.dit file access attempt found during analysis.,Critical
NTDS.dit file access attempt detected on host system.,Critical
Dumping of browser stored credentials,High
Suspicious behavior: Dumping of browser stored credentials,High
Alert generated: Dumping of browser stored credentials,High
Dumping of browser stored credentials detected on host system.,High
Access to keychain credentials detected,High
Access to keychain credentials detected was triggered on endpoint.,High
System alert: Access to keychain credentials detected,High
Access to keychain credentials detected detected on host system.,High
Dumping of SAM registry hive,Critical
Alert generated: Dumping of SAM registry hive,Critical
Dumping of SAM registry hive activity logged.,Critical
Suspicious behavior: Dumping of SAM registry hive,Critical
Cloud credential access via metadata service,High
Cloud credential access via metadata service activity logged.,High
Security event - Cloud credential access via metadata service,High
Alert generated: Cloud credential access via metadata service,High
Suspicious use of gsecdump tool,High
Suspicious use of gsecdump tool found during analysis.,High
Suspicious use of gsecdump tool observed by monitoring service.,High
Suspicious behavior: Suspicious use of gsecdump tool,High
Keylogging activity detected,High
Keylogging activity detected activity logged.,High
Keylogging activity detected detected on host system.,High
Suspicious behavior: Keylogging activity detected,High
Unusual Kerberos ticket request,High
Alert generated: Unusual Kerberos ticket request,High
Unusual Kerberos ticket request activity logged.,High
Unusual Kerberos ticket request found during analysis.,High
Pass-the-hash authentication attempt,Critical
Suspicious behavior: Pass-the-hash authentication attempt,Critical
System alert: Pass-the-hash authentication attempt,Critical
Security event - Pass-the-hash authentication attempt,Critical
Suspicious credential harvesting web form,High
Suspicious credential harvesting web form was triggered on endpoint.,High
Detected activity: Suspicious credential harvesting web form,High
Suspicious behavior: Suspicious credential harvesting web form,High
Credential access via phishing macro,High
Credential access via phishing macro detected on host system.,High
System alert: Credential access via phishing macro,High
Suspicious behavior: Credential access via phishing macro,High
Credential access via malicious Android app,High
Security event - Credential access via malicious Android app,High
System alert: Credential access via malicious Android app,High
Alert generated: Credential access via malicious Android app,High
Credential theft from password manager vault,Critical
Detected activity: Credential theft from password manager vault,Critical
System alert: Credential theft from password manager vault,Critical
Credential theft from password manager vault activity logged.,Critical
Credential dumping from LSASS via procdump,Critical
Credential dumping from LSASS via procdump found during analysis.,Critical
Credential dumping from LSASS via procdump observed by monitoring service.,Critical
Detected activity: Credential dumping from LSASS via procdump,Critical
Discovery of local user accounts,Medium
Discovery of local user accounts detected on host system.,Medium
Discovery of local user accounts was triggered on endpoint.,Medium
Discovery of local user accounts found during analysis.,Medium
Discovery of local network configuration,Medium
Discovery of local network configuration was triggered on endpoint.,Medium
Discovery of local network configuration observed by monitoring service.,Medium
Detected activity: Discovery of local network configuration,Medium
Discovery of installed applications,Medium
Detected activity: Discovery of installed applications,Medium
Discovery of installed applications observed by monitoring service.,Medium
Discovery of installed applications was triggered on endpoint.,Medium
Active Directory domain enumeration,High
Active Directory domain enumeration observed by monitoring service.,High
Active Directory domain enumeration found during analysis.,High
System alert: Active Directory domain enumeration,High
Network share enumeration,Medium
Detected activity: Network share enumeration,Medium
Security event - Network share enumeration,Medium
Suspicious behavior: Network share enumeration,Medium
Cloud asset inventory enumeration,Medium
Cloud asset inventory enumeration found during analysis.,Medium
Cloud asset inventory enumeration detected on host system.,Medium
Alert generated: Cloud asset inventory enumeration,Medium
Discovery of running processes,Medium
Detected activity: Discovery of running processes,Medium
System alert: Discovery of running processes,Medium
Discovery of running processes observed by monitoring service.,Medium
Discovery of open network ports,Medium
Alert generated: Discovery of open network ports,Medium
System alert: Discovery of open network ports,Medium
Discovery of open network ports was triggered on endpoint.,Medium
ARP scan activity detected,Medium
ARP scan activity detected observed by monitoring service.,Medium
ARP scan activity detected found during analysis.,Medium
Suspicious behavior: ARP scan activity detected,Medium
Enumeration of security group memberships,Medium
Detected activity: Enumeration of security group memberships,Medium
Enumeration of security group memberships found during analysis.,Medium
Enumeration of security group memberships observed by monitoring service.,Medium
Multiple DNS queries for internal hosts,Medium
Multiple DNS queries for internal hosts detected on host system.,Medium
Alert generated: Multiple DNS queries for internal hosts,Medium
Suspicious behavior: Multiple DNS queries for internal hosts,Medium
Wireless network scanning detected,Medium
Alert generated: Wireless network scanning detected,Medium
System alert: Wireless network scanning detected,Medium
Suspicious behavior: Wireless network scanning detected,Medium
Listing of scheduled tasks,Medium
Alert generated: Listing of scheduled tasks,Medium
Suspicious behavior: Listing of scheduled tasks,Medium
Listing of scheduled tasks found during analysis.,Medium
Cloud IAM policy enumeration,Medium
Cloud IAM policy enumeration observed by monitoring service.,Medium
Alert generated: Cloud IAM policy enumeration,Medium
Cloud IAM policy enumeration was triggered on endpoint.,Medium
Enumeration of removable media devices,Low
Enumeration of removable media devices detected on host system.,Low
Detected activity: Enumeration of removable media devices,Low
Enumeration of removable media devices observed by monitoring service.,Low
Suspicious directory listing in sensitive folder,Medium
Security event - Suspicious directory listing in sensitive folder,Medium
Suspicious directory listing in sensitive folder observed by monitoring service.,Medium
Suspicious directory listing in sensitive folder activity logged.,Medium
External IP discovery via public service,Low
System alert: External IP discovery via public service,Low
External IP discovery via public service was triggered on endpoint.,Low
External IP discovery via public service activity logged.,Low
Enumeration of email accounts via EWS,Medium
System alert: Enumeration of email accounts via EWS,Medium
Enumeration of email accounts via EWS observed by monitoring service.,Medium
Security event - Enumeration of email accounts via EWS,Medium
Cloud storage bucket listing detected,Medium
Suspicious behavior: Cloud storage bucket listing detected,Medium
Security event - Cloud storage bucket listing detected,Medium
Cloud storage bucket listing detected detected on host system.,Medium
Database schema enumeration detected,Medium
Security event - Database schema enumeration detected,Medium
Database schema enumeration detected was triggered on endpoint.,Medium
Database schema enumeration detected observed by monitoring service.,Medium
Discovery of backup server details,Medium
Detected activity: Discovery of backup server details,Medium
Alert generated: Discovery of backup server details,Medium
Discovery of backup server details detected on host system.,Medium
Network topology discovery activity,Medium
System alert: Network topology discovery activity,Medium
Network topology discovery activity observed by monitoring service.,Medium
Network topology discovery activity activity logged.,Medium
Software version enumeration for exploitation,Medium
Suspicious behavior: Software version enumeration for exploitation,Medium
Security event - Software version enumeration for exploitation,Medium
Software version enumeration for exploitation activity logged.,Medium
Obfuscated command detected in PowerShell process,Medium
Alert generated: Obfuscated command detected in PowerShell process,Medium
System alert: Obfuscated command detected in PowerShell process,Medium
Security event - Obfuscated command detected in PowerShell process,Medium
Suspicious execution of encoded script,High
Security event - Suspicious execution of encoded script,High
System alert: Suspicious execution of encoded script,High
Suspicious behavior: Suspicious execution of encoded script,High
Registry values modified to hide processes,High
Registry values modified to hide processes was triggered on endpoint.,High
Suspicious behavior: Registry values modified to hide processes,High
Alert generated: Registry values modified to hide processes,High
Windows service display name changed to evade detection,Medium
Suspicious behavior: Windows service display name changed to evade detection,Medium
Windows service display name changed to evade detection found during analysis.,Medium
Windows service display name changed to evade detection was triggered on endpoint.,Medium
Hidden file creation in system directories,Medium
Suspicious behavior: Hidden file creation in system directories,Medium
Hidden file creation in system directories was triggered on endpoint.,Medium
Hidden file creation in system directories found during analysis.,Medium
Modification of file attributes for evasion,Medium
Detected activity: Modification of file attributes for evasion,Medium
Modification of file attributes for evasion found during analysis.,Medium
Suspicious behavior: Modification of file attributes for evasion,Medium
Suspicious disablement of antivirus via registry,High
Security event - Suspicious disablement of antivirus via registry,High
Suspicious behavior: Suspicious disablement of antivirus via registry,High
Suspicious disablement of antivirus via registry was triggered on endpoint.,High
Tampering with scheduled security scans,Medium
Tampering with scheduled security scans observed by monitoring service.,Medium
Alert generated: Tampering with scheduled security scans,Medium
Tampering with scheduled security scans activity logged.,Medium
Binary renamed to masquerade as system tool,High
Binary renamed to masquerade as system tool found during analysis.,High
Binary renamed to masquerade as system tool detected on host system.,High
Binary renamed to masquerade as system tool observed by monitoring service.,High
Suspicious environment variable modification,Medium
Security event - Suspicious environment variable modification,Medium
Alert generated: Suspicious environment variable modification,Medium
Suspicious environment variable modification was triggered on endpoint.,Medium
Uninstall of security agent detected,Critical
Detected activity: Uninstall of security agent detected,Critical
Suspicious behavior: Uninstall of security agent detected,Critical
System alert: Uninstall of security agent detected,Critical
Firewall configuration modified by unknown process,Critical
System alert: Firewall configuration modified by unknown process,Critical
Firewall configuration modified by unknown process found during analysis.,Critical
Firewall configuration modified by unknown process activity logged.,Critical
System restore points deleted unexpectedly,High
System restore points deleted unexpectedly observed by monitoring service.,High
Alert generated: System restore points deleted unexpectedly,High
